Workload|iterations|run-time|cpu-cycles|instructions|ref-cycles|page-faults|branches|branch-misses|LLC-load-misses|L1-dcache-load-misses|cache-misses
aes | 190 | 0.069999712 | 286307948 | 291222507 | 171739048 | 1563325 | 54302235 | 1333114 | 68994 | 5220811 | 1563325
aes | 200 | 0.070095687 | 289439204 | 309845064 | 173436848 | 1029710 | 57802758 | 1356478 | 29094 | 5407005 | 1029710
aes | 210 | 0.073121429 | 304303619 | 321487981 | 181889448 | 1037344 | 59941101 | 1465546 | 30488 | 5713086 | 1037344
aes | 220 | 0.077870383 | 312923934 | 339094813 | 186875936 | 1169369 | 63359517 | 1516036 | 31515 | 5958210 | 1169369
aes | 230 | 0.080265434 | 333746612 | 355544741 | 199394208 | 1171376 | 66300476 | 1560472 | 33782 | 6245554 | 1171376
aes | 240 | 0.082074674 | 338378094 | 369122790 | 202898280 | 1267350 | 68941608 | 1688991 | 36142 | 6383651 | 1267350
aes | 250 | 0.085180769 | 352676883 | 383417462 | 210536040 | 1268660 | 71473547 | 1732052 | 36158 | 6708606 | 1268660
aes | 260 | 0.089747439 | 366496494 | 399318950 | 219191128 | 1292343 | 74480016 | 1791978 | 40056 | 7017576 | 1292343
aes | 270 | 0.091890436 | 382687315 | 412307555 | 227288672 | 1306102 | 76743415 | 1850068 | 35477 | 7307552 | 1306102
aes | 280 | 0.095395299 | 397529933 | 434511273 | 237965312 | 1284886 | 81043949 | 1836381 | 34419 | 7582331 | 1284886
aes | 290 | 0.099504993 | 413250417 | 452804497 | 247678288 | 1647285 | 84558496 | 1993272 | 55625 | 7856795 | 1647285
aes | 300 | 0.099632359 | 417652465 | 454938226 | 248880216 | 1435854 | 84863021 | 2031854 | 36224 | 7934999 | 1435854
aes | 310 | 0.106175834 | 441733403 | 476603079 | 263731728 | 1531101 | 88884019 | 2158123 | 42272 | 8380409 | 1531101
aes | 320 | 0.10977626 | 453676432 | 490217253 | 271142456 | 1643851 | 91384923 | 2160630 | 51726 | 8615164 | 1643851
aes | 330 | 0.115956731 | 478248585 | 510823642 | 287285960 | 1859058 | 95309942 | 2232375 | 63141 | 8944055 | 1859058
aes | 340 | 0.11496484 | 472845725 | 527264821 | 283866544 | 1615679 | 98523780 | 2324969 | 46507 | 9086202 | 1615679
aes | 350 | 0.140957214 | 538644531 | 540046511 | 328271528 | 2668690 | 100775016 | 2388857 | 121075 | 9672324 | 2668690
aes | 360 | 0.122002595 | 509374506 | 549373230 | 303899648 | 1722816 | 102513639 | 2438762 | 47823 | 9770800 | 1722816
aes | 370 | 0.125211185 | 521974074 | 564016780 | 313037296 | 2112283 | 105236576 | 2502226 | 74155 | 9882547 | 2112283
aes | 380 | 0.127577473 | 532099308 | 590189664 | 317927064 | 1710810 | 110176378 | 2553667 | 47554 | 10215270 | 1710810
aes | 390 | 0.136994898 | 569033413 | 597362238 | 341360552 | 2845305 | 111389782 | 2623463 | 111607 | 10576373 | 2845305
aes | 400 | 0.137118761 | 569922633 | 616966571 | 341219112 | 2003479 | 115310457 | 2796054 | 49526 | 10768877 | 2003479
aes | 410 | 0.145878513 | 597050840 | 634378818 | 362051352 | 2348730 | 118486521 | 2807732 | 87457 | 11153070 | 2348730
aes | 420 | 0.141957677 | 588730815 | 638220893 | 352097408 | 1924042 | 119104223 | 2922096 | 52150 | 11131437 | 1924042
aes | 430 | 0.14613868 | 609197591 | 647278655 | 364489840 | 2021445 | 120661776 | 2938749 | 55483 | 11661928 | 2021445
aes | 440 | 0.157161343 | 651601730 | 668958403 | 391777048 | 3522471 | 124813888 | 2919734 | 152558 | 11974115 | 3522471
aes | 450 | 0.153424251 | 634899290 | 697945185 | 380714256 | 2170830 | 130180634 | 3085630 | 60721 | 12138333 | 2170830
aes | 460 | 0.155473011 | 646458155 | 705344672 | 385401848 | 2224504 | 131667979 | 3084102 | 58062 | 12376856 | 2224504
aes | 470 | 0.159931872 | 665489278 | 715611446 | 398423896 | 2277704 | 133393699 | 3302007 | 67107 | 12699895 | 2277704
aes | 480 | 0.19027089 | 784541150 | 741163400 | 476988512 | 5257085 | 138500365 | 3483290 | 324856 | 13219443 | 5257085
aes | 490 | 0.181386483 | 748706599 | 743775275 | 452559744 | 4387434 | 138916383 | 3514296 | 228392 | 13305489 | 4387434
aes | 500 | 0.192224213 | 788221015 | 761380818 | 479835200 | 4795294 | 142050633 | 3544385 | 276347 | 13618540 | 4795294
bf | 10 | 0.00623433 | 23468845 | 27554066 | 14678560 | 181366 | 3629591 | 85093 | 13210 | 314899 | 181366
bf | 20 | 0.011122287 | 42951228 | 51817719 | 25823928 | 280082 | 6611886 | 142550 | 16098 | 594299 | 280082
bf | 30 | 0.0164412 | 63498215 | 77494950 | 38173304 | 389644 | 9878535 | 197796 | 23384 | 854567 | 389644
bf | 40 | 0.02060123 | 81760972 | 101221063 | 49561616 | 467298 | 12737212 | 235761 | 27767 | 1099671 | 467298
bf | 50 | 0.025315963 | 99942318 | 126953269 | 59455760 | 520191 | 15991689 | 347676 | 27053 | 1382211 | 520191
bf | 60 | 0.03038831 | 121786870 | 151865645 | 72711184 | 631173 | 19137095 | 382016 | 38758 | 1639175 | 631173
bf | 70 | 0.035530582 | 140854086 | 176502798 | 83667168 | 769389 | 22174921 | 465303 | 42175 | 1915194 | 769389
bf | 80 | 0.042775818 | 167106506 | 201110764 | 103114544 | 794135 | 25243658 | 515406 | 44550 | 2237068 | 794135
bf | 90 | 0.043096721 | 169936476 | 225252296 | 101756720 | 557469 | 28209561 | 545337 | 19377 | 2481997 | 557469
bf | 100 | 0.046479272 | 187621237 | 249582243 | 111475936 | 713016 | 31195699 | 722242 | 28512 | 2772004 | 713016
bf | 110 | 0.049352202 | 202079590 | 275210894 | 121405336 | 765157 | 34397781 | 661549 | 26877 | 3010599 | 765157
bf | 120 | 0.055426613 | 226279654 | 301048551 | 135053048 | 843043 | 37758445 | 776681 | 28514 | 3330957 | 843043
bf | 130 | 0.061626556 | 252702524 | 322861317 | 152289592 | 1297112 | 40198052 | 774879 | 69761 | 3606978 | 1297112
bf | 140 | 0.069991194 | 286195277 | 351669090 | 173365816 | 1890831 | 44078813 | 864048 | 119513 | 3940382 | 1890831
